time,Latitude,Longitude,Height,Yaw,Pitch,Roll
0,45.3,-75.08,165,0,-1.5708,0
0.005,45.3,-75.08,165.0001813,0,-1.5708,0
0.01,45.3,-75.08,165.000725,0,-1.5708,0
0.015,45.3,-75.08,165.0016313,0,-1.5708,0
0.02,45.3,-75.08,165.0029,0,-1.5708,0
0.025,45.3,-75.08,165.0045313,0,-1.5708,0
0.03,45.3,-75.08,165.006525,0,-1.5708,0
0.035,45.3,-75.08,165.0088813,0,-1.5708,0
0.04,45.3,-75.08,165.0116,0,-1.5708,0
0.045,45.3,-75.08,165.0146813,0,-1.5708,0
0.05,45.3,-75.08,165.018125,0,-1.5708,0
0.055,45.3,-75.08,165.0219313,0,-1.5708,0
0.06,45.3,-75.08,165.0261,0,-1.5708,0
0.065,45.3,-75.08,165.0306313,0,-1.5708,0
0.07,45.3,-75.08,165.035525,0,-1.5708,0
0.075,45.3,-75.08,165.0407813,0,-1.5708,0
0.08,45.3,-75.08,165.0464,0,-1.5708,0
0.085,45.3,-75.08,165.0523813,0,-1.5708,0
0.09,45.3,-75.08,165.058725,0,-1.5708,0
0.095,45.3,-75.08,165.0654313,0,-1.5708,0
0.1,45.3,-75.08,165.0725,0,-1.5708,0
0.105,45.3,-75.08,165.0799313,0,-1.5708,0
0.11,45.3,-75.08,165.087725,0,-1.5708,0
0.115,45.3,-75.08,165.0958813,0,-1.5708,0
0.12,45.3,-75.08,165.1044,0,-1.5708,0
0.125,45.3,-75.08,165.1132813,0,-1.5708,0
0.13,45.3,-75.08,165.122525,0,-1.5708,0
0.135,45.3,-75.08,165.1321313,0,-1.5708,0
0.14,45.3,-75.08,165.1421,0,-1.5708,0
0.145,45.3,-75.08,165.1524313,0,-1.5708,0
0.15,45.3,-75.08,165.163125,0,-1.5708,0
0.155,45.3,-75.08,165.1741813,0,-1.5708,0
0.16,45.3,-75.08,165.1856,0,-1.5708,0
0.165,45.3,-75.08,165.1973813,0,-1.5708,0
0.17,45.3,-75.08,165.209525,0,-1.5708,0
0.175,45.3,-75.08,165.2220313,0,-1.5708,0
0.18,45.3,-75.08,165.2349,0,-1.5708,0
0.185,45.3,-75.08,165.2481313,0,-1.5708,0
0.19,45.3,-75.08,165.261725,0,-1.5708,0
0.195,45.3,-75.08,165.2756813,0,-1.5708,0
0.2,45.3,-75.08,165.29,0,-1.5708,0
0.205,45.3,-75.08,165.3046813,0,-1.5708,0
0.21,45.3,-75.08,165.319725,0,-1.5708,0
0.215,45.3,-75.08,165.3351313,0,-1.5708,0
0.22,45.3,-75.08,165.3509,0,-1.5708,0
0.225,45.3,-75.08,165.3670313,0,-1.5708,0
0.23,45.3,-75.08,165.383525,0,-1.5708,0
0.235,45.3,-75.08,165.4003813,0,-1.5708,0
0.24,45.3,-75.08,165.4176,0,-1.5708,0
0.245,45.3,-75.08,165.4351813,0,-1.5708,0
0.25,45.3,-75.08,165.453125,0,-1.5708,0
0.255,45.3,-75.08,165.4714313,0,-1.5708,0
0.26,45.3,-75.08,165.4901,0,-1.5708,0
0.265,45.3,-75.08,165.5091313,0,-1.5708,0
0.27,45.3,-75.08,165.528525,0,-1.5708,0
0.275,45.3,-75.08,165.5482813,0,-1.5708,0
0.28,45.3,-75.08,165.5684,0,-1.5708,0
0.285,45.3,-75.08,165.5888813,0,-1.5708,0
0.29,45.3,-75.08,165.609725,0,-1.5708,0
0.295,45.3,-75.08,165.6309313,0,-1.5708,0
0.3,45.3,-75.08,165.6525,0,-1.5708,0
0.305,45.3,-75.08,165.6744313,0,-1.5708,0
0.31,45.3,-75.08,165.696725,0,-1.5708,0
0.315,45.3,-75.08,165.7193813,0,-1.5708,0
0.32,45.3,-75.08,165.7424,0,-1.5708,0
0.325,45.3,-75.08,165.7657813,0,-1.5708,0
0.33,45.3,-75.08,165.789525,0,-1.5708,0
0.335,45.3,-75.08,165.8136313,0,-1.5708,0
0.34,45.3,-75.08,165.8381,0,-1.5708,0
0.345,45.3,-75.08,165.8629313,0,-1.5708,0
0.35,45.3,-75.08,165.888125,0,-1.5708,0
0.355,45.3,-75.08,165.9136813,0,-1.5708,0
0.36,45.3,-75.08,165.9396,0,-1.5708,0
0.365,45.3,-75.08,165.9658813,0,-1.5708,0
0.37,45.3,-75.08,165.992525,0,-1.5708,0
0.375,45.3,-75.08,166.0195313,0,-1.5708,0
0.38,45.3,-75.08,166.0469,0,-1.5708,0
0.385,45.3,-75.08,166.0746313,0,-1.5708,0
0.39,45.3,-75.08,166.102725,0,-1.5708,0
0.395,45.3,-75.08,166.1311813,0,-1.5708,0
0.4,45.3,-75.08,166.16,0,-1.5708,0
0.405,45.3,-75.08,166.1891813,0,-1.5708,0
0.41,45.3,-75.08,166.218725,0,-1.5708,0
0.415,45.3,-75.08,166.2486313,0,-1.5708,0
0.42,45.3,-75.08,166.2789,0,-1.5708,0
0.425,45.3,-75.08,166.3095313,0,-1.5708,0
0.43,45.3,-75.08,166.340525,0,-1.5708,0
0.435,45.3,-75.08,166.3718813,0,-1.5708,0
0.44,45.3,-75.08,166.4036,0,-1.5708,0
0.445,45.3,-75.08,166.4356813,0,-1.5708,0
0.45,45.3,-75.08,166.468125,0,-1.5708,0
0.455,45.3,-75.08,166.5009313,0,-1.5708,0
0.46,45.3,-75.08,166.5341,0,-1.5708,0
0.465,45.3,-75.08,166.5676313,0,-1.5708,0
0.47,45.3,-75.08,166.601525,0,-1.5708,0
0.475,45.3,-75.08,166.6357813,0,-1.5708,0
0.48,45.3,-75.08,166.6704,0,-1.5708,0
0.485,45.3,-75.08,166.7053813,0,-1.5708,0
0.49,45.3,-75.08,166.740725,0,-1.5708,0
0.495,45.3,-75.08,166.7764313,0,-1.5708,0
0.5,45.3,-75.08,166.8125,0,-1.5708,0
0.505,45.3,-75.08,166.8489313,0,-1.5708,0
0.51,45.3,-75.08,166.885725,0,-1.5708,0
0.515,45.3,-75.08,166.9228813,0,-1.5708,0
0.52,45.3,-75.08,166.9604,0,-1.5708,0
0.525,45.3,-75.08,166.9982813,0,-1.5708,0
0.53,45.3,-75.08,167.036525,0,-1.5708,0
0.535,45.3,-75.08,167.0751313,0,-1.5708,0
0.54,45.3,-75.08,167.1141,0,-1.5708,0
0.545,45.3,-75.08,167.1534313,0,-1.5708,0
0.55,45.3,-75.08,167.193125,0,-1.5708,0
0.555,45.3,-75.08,167.2331813,0,-1.5708,0
0.56,45.3,-75.08,167.2736,0,-1.5708,0
0.565,45.3,-75.08,167.3143813,0,-1.5708,0
0.57,45.3,-75.08,167.355525,0,-1.5708,0
0.575,45.3,-75.08,167.3970313,0,-1.5708,0
0.58,45.3,-75.08,167.4389,0,-1.5708,0
0.585,45.3,-75.08,167.4811313,0,-1.5708,0
0.59,45.3,-75.08,167.523725,0,-1.5708,0
0.595,45.3,-75.08,167.5666813,0,-1.5708,0
0.6,45.3,-75.08,167.61,0,-1.5708,0
0.605,45.3,-75.08,167.6536813,0,-1.5708,0
0.61,45.3,-75.08,167.697725,0,-1.5708,0
0.615,45.3,-75.08,167.7421313,0,-1.5708,0
0.62,45.3,-75.08,167.7869,0,-1.5708,0
0.625,45.3,-75.08,167.8320313,0,-1.5708,0
0.63,45.3,-75.08,167.877525,0,-1.5708,0
0.635,45.3,-75.08,167.9233813,0,-1.5708,0
0.64,45.3,-75.08,167.9696,0,-1.5708,0
0.645,45.3,-75.08,168.0161813,0,-1.5708,0
0.65,45.3,-75.08,168.063125,0,-1.5708,0
0.655,45.3,-75.08,168.1104313,0,-1.5708,0
0.66,45.3,-75.08,168.1581,0,-1.5708,0
0.665,45.3,-75.08,168.2061313,0,-1.5708,0
0.67,45.3,-75.08,168.254525,0,-1.5708,0
0.675,45.3,-75.08,168.3032813,0,-1.5708,0
0.68,45.3,-75.08,168.3524,0,-1.5708,0
0.685,45.3,-75.08,168.4018813,0,-1.5708,0
0.69,45.3,-75.08,168.451725,0,-1.5708,0
0.695,45.3,-75.08,168.5019313,0,-1.5708,0
0.7,45.3,-75.08,168.5525,0,-1.5708,0
0.705,45.3,-75.08,168.6034313,0,-1.5708,0
0.71,45.3,-75.08,168.654725,0,-1.5708,0
0.715,45.3,-75.08,168.7063813,0,-1.5708,0
0.72,45.3,-75.08,168.7584,0,-1.5708,0
0.725,45.3,-75.08,168.8107813,0,-1.5708,0
0.73,45.3,-75.08,168.863525,0,-1.5708,0
0.735,45.3,-75.08,168.9166313,0,-1.5708,0
0.74,45.3,-75.08,168.9701,0,-1.5708,0
0.745,45.3,-75.08,169.0239313,0,-1.5708,0
0.75,45.3,-75.08,169.078125,0,-1.5708,0
0.755,45.3,-75.08,169.1326813,0,-1.5708,0
0.76,45.3,-75.08,169.1876,0,-1.5708,0
0.765,45.3,-75.08,169.2428813,0,-1.5708,0
0.77,45.3,-75.08,169.298525,0,-1.5708,0
0.775,45.3,-75.08,169.3545313,0,-1.5708,0
0.78,45.3,-75.08,169.4109,0,-1.5708,0
0.785,45.3,-75.08,169.4676313,0,-1.5708,0
0.79,45.3,-75.08,169.524725,0,-1.5708,0
