t,u,v,w,VT,phi,theta,psi,XE,YE,ZE,elevR,elevL,flapR,flapL,canard,rudder,alpha,beta
0.000,932.510,0.000,30.224,933.000,0.000,0.000,0.000,9.325,0.000,-20000.302,0.000,0.111,-0.009,-0.009,-0.011,0.021,0.000,0.000
0.010,932.510,0.033,30.251,933.000,0.001,0.000,0.000,18.650,0.000,-20000.605,0.000,0.111,-0.018,-0.015,-0.023,0.042,0.000,-0.000
0.020,932.509,0.068,30.296,933.001,0.002,0.000,0.000,27.975,0.001,-20000.907,0.000,0.110,-0.027,-0.022,-0.017,0.063,0.000,-0.000
0.030,932.508,0.087,30.352,933.002,0.004,0.000,0.000,37.300,0.002,-20001.210,0.000,0.109,-0.036,-0.031,-0.002,0.084,0.000,-0.000
0.040,932.507,0.079,30.417,933.003,0.007,0.000,0.000,46.625,0.003,-20001.514,0.000,0.107,-0.045,-0.040,0.017,0.105,0.000,-0.000
0.050,932.507,0.039,30.487,933.005,0.010,0.000,0.000,55.951,0.003,-20001.819,0.000,0.104,-0.055,-0.049,0.036,0.126,0.000,-0.000
0.060,932.507,0.039,30.560,933.007,0.013,0.000,0.000,65.276,0.002,-20002.124,0.000,0.100,-0.064,-0.058,0.054,0.147,0.000,0.000
0.070,932.507,0.156,30.636,933.010,0.017,-0.000,0.000,74.601,0.002,-20002.431,0.000,0.095,-0.073,-0.067,0.073,0.168,0.000,0.000
0.080,932.507,0.318,30.717,933.013,0.022,-0.000,0.000,83.926,0.002,-20002.739,0.000,0.090,-0.082,-0.076,0.092,0.188,0.001,0.000
0.090,932.507,0.527,30.806,933.016,0.027,-0.000,0.000,93.251,0.002,-20003.049,0.000,0.084,-0.091,-0.085,0.111,0.209,0.001,0.001
0.100,932.508,0.787,30.905,933.020,0.032,-0.000,0.000,102.576,0.003,-20003.360,0.000,0.079,-0.100,-0.094,0.129,0.230,0.001,0.001
0.110,932.509,1.101,31.019,933.025,0.038,-0.000,0.000,111.901,0.005,-20003.673,0.000,0.077,-0.109,-0.103,0.148,0.231,0.001,0.001
0.120,932.509,1.459,31.149,933.030,0.044,-0.000,0.000,121.226,0.008,-20003.988,0.000,0.077,-0.118,-0.112,0.167,0.227,0.001,0.002
0.130,932.510,1.849,31.296,933.036,0.051,-0.000,0.000,130.551,0.011,-20004.305,0.000,0.076,-0.127,-0.121,0.186,0.233,0.001,0.002
0.140,932.510,2.264,31.460,933.043,0.057,-0.000,-0.000,139.876,0.015,-20004.625,0.000,0.074,-0.137,-0.130,0.205,0.242,0.001,0.002
0.150,932.510,2.701,31.642,933.050,0.065,-0.001,-0.000,149.201,0.020,-20004.947,0.000,0.072,-0.146,-0.139,0.224,0.255,0.002,0.003
0.160,932.510,3.158,31.839,933.059,0.072,-0.001,-0.000,158.526,0.027,-20005.273,0.000,0.069,-0.155,-0.149,0.243,0.268,0.002,0.003
0.170,932.510,3.636,32.050,933.067,0.080,-0.001,-0.000,167.850,0.034,-20005.601,0.000,0.067,-0.164,-0.158,0.261,0.282,0.002,0.004
0.180,932.510,4.131,32.273,933.077,0.089,-0.001,-0.000,177.175,0.043,-20005.932,0.000,0.065,-0.173,-0.167,0.280,0.297,0.002,0.004
0.190,932.509,4.645,32.508,933.087,0.097,-0.001,-0.001,186.500,0.052,-20006.268,0.000,0.062,-0.182,-0.176,0.299,0.311,0.002,0.005
0.200,932.509,5.176,32.752,933.099,0.106,-0.001,-0.001,195.825,0.063,-20006.606,0.000,0.059,-0.191,-0.185,0.318,0.326,0.003,0.006
0.210,932.510,5.724,33.007,933.111,0.115,-0.001,-0.001,205.150,0.076,-20006.949,0.000,0.056,-0.200,-0.194,0.337,0.341,0.003,0.006
0.220,932.510,6.289,33.272,933.124,0.125,-0.001,-0.001,214.475,0.090,-20007.296,0.000,0.053,-0.209,-0.203,0.356,0.355,0.003,0.007
0.230,932.510,6.871,33.548,933.138,0.134,-0.001,-0.001,223.799,0.105,-20007.647,0.000,0.049,-0.218,-0.212,0.374,0.370,0.004,0.007
0.240,932.510,7.468,33.835,933.154,0.144,-0.001,-0.001,233.124,0.122,-20008.003,0.000,0.049,-0.227,-0.221,0.380,0.377,0.004,0.008
0.250,932.510,8.075,34.135,933.170,0.154,-0.001,-0.001,242.449,0.140,-20008.364,0.000,0.050,-0.236,-0.230,0.379,0.378,0.004,0.009
0.260,932.511,8.687,34.448,933.187,0.165,-0.001,-0.001,251.773,0.159,-20008.730,0.000,0.052,-0.245,-0.239,0.378,0.379,0.005,0.009
0.270,932.511,9.306,34.774,933.205,0.175,-0.001,-0.001,261.098,0.179,-20009.101,0.000,0.054,-0.254,-0.248,0.378,0.379,0.005,0.010
0.280,932.511,9.932,35.114,933.225,0.186,-0.001,-0.001,270.423,0.201,-20009.478,0.000,0.056,-0.264,-0.257,0.377,0.379,0.005,0.011
0.290,932.511,10.565,35.468,933.245,0.197,-0.001,-0.001,279.747,0.223,-20009.860,0.000,0.058,-0.273,-0.267,0.377,0.379,0.006,0.011
0.300,932.511,11.204,35.835,933.267,0.208,-0.002,-0.001,289.072,0.246,-20010.249,0.000,0.057,-0.282,-0.271,0.377,0.378,0.006,0.012
0.310,932.511,11.849,36.211,933.289,0.219,-0.002,-0.001,298.396,0.270,-20010.643,0.000,0.055,-0.291,-0.274,0.376,0.376,0.006,0.013
